"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","joao-MacPro",,,,"User:","joao"
"Cmdline:","dstat -a -v --output ./dstat_1_thread.csv",,,,"Date:","13 May 2019 19:54:00 WEST"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,
8.463,5.656,84.667,1.215,0,0,5660672,80,1480,0,0,18711,43006,2,0,513,3956334592,20179972096,2301517824,37463654400,0,0,0,5660672,18711,43004,8.501,5.653,84.631,1.214,0
15.080,3.420,80.429,1.071,0,7716864,31612928,80,6027,0,0,8528,26232,3,0,197,4086468608,20015792128,2301526016,37494505472,0,0,7716864,31612928,8529,26238,15.052,3.381,80.495,1.072,0
11.468,3.711,78.065,6.756,0,0,177831936,240,12644,0,0,7896,35897,1,3,71,4149215232,19661971456,2301534208,37779353600,0,0,0,177831936,7895,35904,11.468,3.753,78.023,6.756,0
24.751,4.022,69.735,1.493,0,0,12034048,80,6880,0,0,11142,34887,10,0,224,4333961216,19607883776,2301562880,37649960960,0,0,0,12034048,11142,34876,24.762,3.982,69.764,1.493,0
34.925,2.450,62.583,0.042,0,0,319488,0,1420,0,0,6471,19729,9,0,47,4520198144,19419639808,2301562880,37649981440,0,0,0,319488,6472,19729,34.992,2.488,62.479,0.041,0
42.221,2.288,55.408,0.083,0,0,1449984,80,5323,0,0,6225,18009,12,0,25,4696788992,19240833024,2301562880,37650018304,0,0,0,1449984,6226,18017,42.287,2.245,55.385,0.083,0
12.240,1.540,86.220,0,0,0,282624,18604,21940,0,0,3218,7448,0,0,19,4693544960,19243106304,2301562880,37650071552,0,0,0,282624,3216,7438,12.037,1.541,86.422,0,0
0.375,1.293,98.331,0,0,0,0,128,702,0,0,1023,1660,0,0,21,4672159744,19264372736,2301562880,37650075648,0,0,0,0,1023,1660,0.375,1.293,98.332,0,0
4.525,1.826,93.649,0,0,0,0,12564,13146,0,0,2133,5234,1,0,52,4722073600,19213189120,2301562880,37650108416,0,0,0,0,2133,5234,4.532,1.830,93.638,0,0
5.368,1.040,93.550,0.042,0,0,176128,75485,77184,0,0,2036,5031,2,0,11,4753506304,19180175360,2301566976,37650153472,0,0,0,176128,2037,5033,5.364,1.081,93.514,0.042,0
3.371,1.665,94.965,0,0,0,122880,21479,22108,0,0,4710,7829,1,0,68,4570648576,19336200192,2301566976,37677498368,0,0,0,122880,4711,7830,3.369,1.622,95.008,0,0
0.209,1.210,98.582,0,0,0,0,0,504,0,0,987,1413,0,0,7,4555243520,19351605248,2301566976,37677498368,0,0,0,0,985,1410,0.209,1.209,98.582,0,0
0.292,1.251,98.458,0,0,0,0,0,629,0,0,1008,1602,0,0,7,4552663040,19354193920,2301566976,37677498368,0,0,0,0,1008,1602,0.292,1.251,98.457,0,0
0.375,1.041,98.585,0,0,0,0,0,504,0,0,874,1099,0,0,7,4552876032,19353980928,2301566976,37677498368,0,0,0,0,874,1099,0.375,1.041,98.585,0,0
0.208,0.542,99.250,0,0,0,0,0,1344,0,0,758,1312,1,0,7,4553666560,19353190400,2301566976,37677498368,0,0,0,0,758,1312,0.208,0.542,99.250,0,0
0.209,0.834,98.916,0.042,0,0,274432,0,672,0,0,835,1315,0,0,2,4552560640,19354288128,2301566976,37677498368,0,0,0,274432,835,1315,0.208,0.875,98.875,0.042,0
0.167,1.210,98.623,0,0,0,0,0,322,0,0,986,1269,0,0,7,4552945664,19353911296,2301566976,37677498368,0,0,0,0,986,1269,0.167,1.169,98.664,0,0
0.167,1.252,98.582,0,0,0,0,0,1447,0,0,853,1459,0,0,7,4552740864,19354107904,2301566976,37677506560,0,0,0,0,853,1459,0.167,1.252,98.582,0,0
0.208,1.209,98.583,0,0,0,0,0,377,0,0,912,1364,0,0,7,4553031680,19353800704,2301566976,37677506560,0,0,0,0,912,1364,0.208,1.250,98.542,0,0
0.167,0.208,99.625,0,0,0,0,0,252,0,0,596,978,1,0,7,4553056256,19353669632,2301566976,37677518848,0,0,0,0,596,978,0.167,0.167,99.667,0,0
0.835,1.461,97.663,0.042,0,0,69632,94673,39200,0,0,3224,5206,6,1,37,4547133440,19359866880,2301566976,37677494272,0,0,0,90112,3280,5388,0.958,1.499,97.502,0.042,0
4.639,2.883,90.180,2.298,0,16384,33009664,18446744073709355008,18446744073709383680,0,0,9389,18336,1,0,131,3943612416,19970322432,2301579264,37677154304,0,0,16384,32989184,9333,18154,4.570,2.851,90.273,2.306,0
4.700,2.829,91.805,0.666,0,0,5722112,18446744073709527040,18446744073709512704,0,0,11349,19816,1,1,111,3830484992,20159275008,2301583360,37606944768,0,0,0,5722112,11349,19816,4.657,2.827,91.809,0.707,0
4.158,2.869,92.890,0.083,0,0,610304,48,18446744073709545472,0,0,7121,12486,2,0,246,3831021568,20306128896,2301583360,37463576576,0,0,0,610304,7121,12486,4.161,2.871,92.926,0.042,0
5.653,2.973,89.154,2.219,0,0,34930688,240,552,0,0,8776,22683,2,0,203,3908026368,20228694016,2301587456,37463777280,0,0,0,34930688,8784,22699,5.649,3.013,89.121,2.218,0
11.180,6.211,81.366,1.242,0,2703360,31789056,80,3272,0,0,19744,45121,6,2,587,3987222528,20115574784,2301599744,37493714944,0,0,2752512,31789056,19739,45149,11.300,6.167,81.250,1.283,0
18.136,3.778,71.956,6.129,0,5013504,145383424,224,13166,0,0,11282,40441,5,1,154,4237115392,19681320960,2301599744,37671165952,0,0,4964352,145383424,11279,40397,18.094,3.778,71.998,6.129,0
19.191,3.260,74.494,3.054,0,0,45801472,160,6374,0,0,8594,22598,3,0,112,4317671424,19623514112,2301607936,37649911808,0,0,0,45801472,8594,22603,19.132,3.264,74.587,3.017,0
29.747,2.202,67.968,0.083,0,0,1429504,160,5932,0,0,6172,28354,8,0,108,4515106816,19422146560,2301607936,37650317312,0,0,0,1429504,6172,28355,29.759,2.203,67.955,0.083,0
34.024,2.942,62.826,0.207,0,0,307200,25502,28739,0,0,6517,24426,11,0,57,4646834176,19288518656,2301607936,37650407424,0,0,0,307200,6517,24420,34.024,2.942,62.826,0.207,0
34.489,1.837,63.674,0,0,0,0,715,3822,0,0,5206,13381,1,0,14,4737212416,19196653568,2301607936,37650452480,0,0,0,0,5206,13381,34.431,1.834,63.735,0,0
6.100,2.033,91.826,0.041,0,0,339968,97168,99592,0,0,4678,9878,1,0,55,4566286336,19356717056,2301607936,37660381184,0,0,0,339968,4678,9878,6.100,2.033,91.826,0.041,0
1.877,1.334,96.789,0,0,0,0,0,1254,0,0,1592,2416,1,0,17,4577611776,19327598592,2301607936,37677838336,0,0,0,0,1592,2416,1.878,1.377,96.745,0,0
0.167,0.250,99.583,0,0,0,0,0,721,0,0,1110,1173,0,0,7,4575784960,19329409024,2301607936,37677834240,0,0,0,0,1110,1173,0.167,0.250,99.584,0,0
0.167,1.251,98.582,0,0,0,0,207,1073,0,0,980,1474,0,0,7,4576342016,19328847872,2301607936,37677838336,0,0,0,0,980,1474,0.167,1.210,98.623,0,0
0.292,1.292,98.417,0,0,0,0,0,629,0,0,955,1476,0,0,7,4558110720,19347079168,2301607936,37677838336,0,0,0,0,955,1476,0.292,1.292,98.417,0,0
0.084,1.044,98.831,0.042,0,0,331776,0,504,0,0,852,1252,0,0,7,4557795328,19347394560,2301607936,37677838336,0,0,0,331776,852,1252,0.083,1.085,98.790,0.042,0
0.209,0.876,98.915,0,0,0,0,0,924,0,0,735,1313,1,0,7,4558831616,19346358272,2301607936,37677838336,0,0,0,0,735,1313,0.209,0.877,98.914,0,0
0.250,0.541,99.209,0,0,0,0,0,574,0,0,685,1247,0,0,2,4558843904,19346337792,2301607936,37677838336,0,0,0,0,685,1247,0.250,0.499,99.251,0,0
0.209,1.084,98.707,0,0,0,0,0,1274,0,0,952,1313,0,0,7,4559196160,19345985536,2301607936,37677838336,0,0,0,0,952,1313,0.209,1.084,98.707,0,0
0.250,1.293,98.457,0,0,0,0,0,1072,0,0,984,1510,0,0,7,4558704640,19346468864,2301607936,37677838336,0,0,0,0,984,1510,0.250,1.293,98.457,0,0
0.375,1.208,98.417,0,0,0,49152,0,447,0,0,997,1395,0,0,7,4559204352,19345977344,2301607936,37677838336,0,0,0,49152,997,1395,0.375,1.249,98.376,0,0
1.792,1.376,95.665,1.167,0,0,30359552,18446744073709512704,18446744073709463552,0,0,4680,8116,1,1,52,4549873664,19361386496,2301607936,37677793280,0,0,0,30580736,4711,8116,1.795,1.377,95.659,1.169,0
5.184,2.550,91.513,0.753,0,16384,5521408,18446744073709484032,18446744073709506560,0,0,11155,22754,0,0,142,3929243648,19986571264,2301607936,37677404160,0,0,16384,5300224,11124,22754,5.180,2.506,91.562,0.752,0
1.421,1.755,96.699,0.125,0,0,1433600,18446744073709537280,18446744073709533184,0,0,4567,7683,0,0,42,3919814656,19997704192,2301607936,37677371392,0,0,0,1433600,4567,7683,1.421,1.755,96.699,0.125,0
0.167,1.084,98.749,0,0,0,0,80,164,0,0,661,1078,0,0,5,3919245312,19998306304,2301607936,37677342720,0,0,0,0,663,1081,0.167,1.084,98.749,0,0
0.709,1.377,97.914,0,0,0,40960,0,168,0,0,2535,3989,7,0,31,3834441728,20083343360,2301607936,37677125632,0,0,0,40960,2631,4068,0.750,1.500,97.750,0,0
4.512,3.022,92.094,0.373,0,0,2555904,18446744073709549568,18446744073709535232,0,0,10099,16548,3,0,280,3815358464,20337741824,2301607936,37446397952,0,0,0,2555904,10001,16466,4.517,2.942,92.167,0.373,0
4.547,2.003,92.073,1.377,0,0,32591872,240,240,0,0,5956,11456,3,2,98,3832877056,20302888960,2301607936,37463928832,0,0,0,32591872,5956,11483,4.506,2.044,92.032,1.418,0
8.195,6.323,84.027,1.456,0,0,3792896,0,1224,0,0,18219,41993,9,0,556,3990081536,20143296512,2301607936,37464330240,0,0,0,3792896,18234,42027,8.201,6.328,84.055,1.415,0
14.037,2.824,82.558,0.581,0,7716864,31272960,224,7708,0,0,7781,28157,6,0,112,4062031872,20038979584,2301616128,37495009280,0,0,7716864,31272960,7766,28118,14.144,2.779,82.497,0.581,0
19.354,3.937,72.358,4.351,0,0,111546368,80,5942,0,0,10468,45943,5,1,154,4291301376,19620343808,2301624320,37676994560,0,0,0,111546368,10469,45927,19.320,3.897,72.388,4.395,0
29.071,3.457,65.514,1.958,0,0,78856192,160,6255,0,0,10188,36981,10,0,187,4369231872,19570327552,2301628416,37650395136,0,0,0,78856192,10189,37002,29.089,3.496,65.501,1.914,0
35.569,2.707,61.641,0.083,0,0,1593344,80,4279,0,0,6562,21905,7,0,46,4575260672,19361882112,2301628416,37650366464,0,0,0,1593344,6560,21895,35.598,2.668,61.651,0.083,0
39.925,2.299,57.441,0.334,0,0,598016,0,4381,0,0,6772,15521,5,0,26,4681895936,19253321728,2301628416,37650497536,0,0,0,598016,6772,15504,39.900,2.300,57.465,0.335,0
6.733,1.829,91.438,0,0,0,172032,31285,33494,0,0,3045,7586,1,0,57,4719865856,19212668928,2301628416,37650583552,0,0,0,172032,3045,7586,6.653,1.830,91.518,0,0
7.149,1.496,91.313,0.042,0,0,159744,71737,72389,0,0,2271,6751,2,0,7,4752232448,19179622400,2301628416,37650583552,0,0,0,159744,2273,6762,7.143,1.495,91.321,0.042,0
6.341,0.953,92.665,0.041,0,0,73728,14423,16147,0,0,3707,7389,1,0,54,4557340672,19347275776,2301628416,37677797376,0,0,0,73728,3705,7378,6.349,0.954,92.656,0.041,0
2.793,1.292,95.915,0,0,0,0,0,834,0,0,1299,1520,1,0,7,4557717504,19346747392,2301628416,37677953024,0,0,0,0,1299,1520,2.829,1.331,95.840,0,0
3.414,1.207,95.379,0,0,0,0,0,754,0,0,1986,1907,1,0,17,4556857344,19348041728,2301628416,37677953024,0,0,0,0,1986,1908,3.415,1.166,95.419,0,0
2.789,1.166,96.045,0,0,0,0,0,629,0,0,1193,1487,1,0,7,4550148096,19355029504,2301628416,37677948928,0,0,0,0,1193,1486,2.749,1.166,96.085,0,0
3.165,1.041,95.793,0,0,0,0,0,504,0,0,1009,1436,1,0,7,4549816320,19355361280,2301628416,37677948928,0,0,0,0,1009,1436,3.165,1.041,95.793,0,0
3.750,0.250,96,0,0,0,311296,0,994,0,0,964,1642,0,0,2,4575092736,19330084864,2301628416,37677948928,0,0,0,311296,964,1642,3.748,0.250,96.002,0,0
0.208,1.251,98.541,0,0,0,0,0,952,0,0,881,1381,0,0,7,4575035392,19330142208,2301628416,37677948928,0,0,0,0,881,1381,0.209,1.251,98.540,0,0
0.250,1.210,98.540,0,0,0,0,0,322,0,0,1063,1533,0,0,7,4575997952,19329179648,2301628416,37677948928,0,0,0,0,1064,1535,0.250,1.251,98.499,0,0
0.375,1.207,98.418,0,0,0,0,0,1197,0,0,981,1194,0,0,7,4575772672,19329392640,2301628416,37677961216,0,0,0,0,980,1192,0.375,1.166,98.460,0,0
0.250,0.709,99.041,0,0,0,0,0,195,0,0,739,1260,1,0,7,4576858112,19328307200,2301628416,37677961216,0,0,0,0,739,1260,0.250,0.750,99.000,0,0
1.249,1.249,97.459,0.042,0,0,118784,18446744073709504512,18446744073709477888,0,0,3409,6203,0,0,44,4570300416,19335114752,2301628416,37677936640,0,0,0,118784,3409,6203,1.250,1.208,97.500,0.042,0
4.585,2.918,91.163,1.334,0,16384,34390016,18446744073709533184,18446744073709522944,0,0,10469,20310,0,1,116,3935739904,19975901184,2301640704,37677756416,0,0,16384,34390016,10488,20347,4.583,2.917,91.167,1.333,0
2.757,2.464,94.528,0.251,0,0,2797568,18446744073709502464,18446744073709512704,0,0,7116,11891,0,0,70,3920183296,19996389376,2301648896,37677596672,0,0,0,2797568,7097,11854,2.758,2.466,94.526,0.251,0
0.749,1.332,97.919,0,0,0,40960,0,168,0,0,2179,3525,4,0,25,3833356288,20083433472,2301648896,37677379584,0,0,0,40960,2236,3547,0.749,1.332,97.918,0,0
3.838,2.795,93.075,0.292,0,0,2711552,18446744073709549568,18446744073709535232,0,0,9384,17119,2,0,275,3814113280,20337819648,2301648896,37446402048,0,0,0,2711552,9327,17097,3.838,2.837,93.033,0.292,0
4,1.542,93,1.458,0,0,31322112,240,240,0,0,4711,10031,1,1,56,3833798656,20300435456,2301657088,37464174592,0,0,0,31375360,4711,10031,3.997,1.499,93.006,1.499,0
9.667,6.375,82.208,1.750,0,0,5169152,0,1088,0,0,20189,48532,3,0,621,3942600704,20188561408,2301661184,37464776704,0,0,0,5115904,20189,48544,9.716,6.422,82.152,1.710,0
18.027,3.414,75.729,2.831,0,0,147120128,224,8222,0,0,7509,28109,5,2,74,4142120960,19806318592,2301673472,37641183232,0,0,0,147120128,7510,28099,18.087,3.410,75.634,2.869,0
18.016,4.234,73.059,4.691,0,4374528,67375104,240,9948,0,0,9255,25470,5,2,120,4281163776,19636191232,2301685760,37672443904,0,0,4374528,67375104,9254,25477,17.989,4.238,73.120,4.653,0
29.599,2.759,67.182,0.460,0,3342336,2105344,0,6294,0,0,12217,37601,5,0,264,4423303168,19519483904,2301689856,37645299712,0,0,3342336,2105344,12217,37593,29.611,2.719,67.210,0.460,0
32.481,2.431,64.585,0.503,0,0,6471680,160,2746,0,0,5936,19912,11,0,34,4588597248,19345760256,2301702144,37650915328,0,0,0,6471680,5936,19911,32.524,2.470,64.504,0.502,0
35.693,2.249,61.849,0.208,0,0,593920,0,4388,0,0,5981,14512,3,0,18,4653850624,19279060992,2301702144,37650837504,0,0,0,593920,5981,14514,35.556,2.209,62.026,0.208,0
6.125,1.542,92.333,0,0,0,172032,31192,34293,0,0,2919,7250,1,0,56,4713152512,19217469440,2301702144,37650915328,0,0,0,172032,2919,7248,6.125,1.542,92.333,0,0
5.909,1.540,92.468,0.083,0,0,196608,81369,82068,0,0,2394,6980,1,0,7,4748775424,19180945408,2301702144,37650923520,0,0,0,196608,2395,6980,5.917,1.542,92.458,0.083,0
3.410,1.414,95.177,0,0,0,122880,27348,28876,0,0,4141,7635,2,0,66,4550447104,19351703552,2301702144,37678284800,0,0,0,122880,4140,7635,3.405,1.412,95.183,0,0
0.167,0.833,99,0,0,0,0,207,1143,0,0,811,1146,0,0,2,4550287360,19351859200,2301702144,37678288896,0,0,0,0,811,1146,0.167,0.833,99,0,0
0.292,1.293,98.415,0,0,0,0,0,629,0,0,952,1492,0,0,7,4546191360,19355955200,2301702144,37678288896,0,0,0,0,952,1492,0.292,1.292,98.416,0,0
0.250,1.209,98.541,0,0,0,0,0,125,0,0,978,1443,0,0,7,4546355200,19355787264,2301702144,37678292992,0,0,0,0,978,1443,0.250,1.209,98.540,0,0
0.209,1.084,98.707,0,0,0,0,0,0,0,0,810,1172,0,0,7,4546330624,19355811840,2301702144,37678292992,0,0,0,0,810,1172,0.208,1.125,98.666,0,0
0.125,0.292,99.583,0,0,0,278528,0,0,0,0,714,1255,1,0,7,4546420736,19355721728,2301702144,37678292992,0,0,0,278528,714,1255,0.125,0.250,99.625,0,0
0.167,1.168,98.666,0,0,0,0,0,1022,0,0,926,1363,0,0,2,4547104768,19355037696,2301702144,37678292992,0,0,0,0,926,1363,0.167,1.168,98.665,0,0
0.209,1.043,98.749,0,0,0,0,0,812,0,0,908,1269,0,0,7,4547080192,19355062272,2301702144,37678292992,0,0,0,0,908,1269,0.208,1.042,98.749,0,0
0.167,1.210,98.623,0,0,0,0,0,1002,0,0,1001,1447,0,0,7,4546691072,19355451392,2301702144,37678292992,0,0,0,0,1001,1447,0.167,1.210,98.623,0,0
0.167,1.210,98.623,0,0,0,0,0,879,0,0,839,1393,0,0,7,4547497984,19354644480,2301702144,37678292992,0,0,0,0,839,1393,0.167,1.209,98.624,0,0
1.251,0.667,98.041,0.042,0,0,114688,18446744073709494272,58663,0,0,3870,5923,6,0,57,4538392576,19364614144,2301702144,37678272512,0,0,0,114688,3944,6089,1.332,0.707,97.919,0.042,0
5.305,2.735,90.717,1.243,0,16384,32751616,18446744073709524992,18446744073709369344,0,0,9219,17584,1,0,101,3949047808,19960918016,2301710336,37677940736,0,0,16384,32751616,9156,17435,5.239,2.703,90.811,1.247,0
3.064,2.940,93.582,0.414,0,0,4460544,18446744073709496320,18446744073709508608,0,0,8477,13784,0,0,78,3919306752,19995115520,2301718528,37677834240,0,0,0,4460544,8466,13767,3.059,2.935,93.592,0.413,0
0.292,1.083,98.626,0,0,0,0,0,84,0,0,771,1061,0,0,5,3918352384,19995987968,2301718528,37677936640,0,0,0,0,771,1061,0.292,1.083,98.625,0,0
0.167,0.960,98.874,0,0,0,0,80,164,0,0,566,1112,1,0,5,3918995456,19995344896,2301718528,37677936640,0,0,0,0,566,1112,0.167,1.002,98.831,0,0
3.156,1.952,94.601,0.291,0,0,2670592,18446744073709549568,18446744073709537280,0,0,5922,11813,2,0,118,3834531840,20297801728,2301718528,37464989696,0,0,0,2670592,5922,11885,3.157,1.911,94.641,0.291,0
4.432,2.775,92.751,0.041,0,0,0,160,160,0,0,7337,12937,2,2,235,3832520704,20300607488,2301718528,37464469504,0,0,0,0,7341,12968,4.506,2.811,92.642,0.041,0
4.831,3.040,88.172,3.957,0,0,35188736,80,294,0,0,8320,17032,4,0,157,3893035008,20239306752,2301743104,37464715264,0,0,0,35188736,8351,17200,4.913,3.039,88.093,3.955,0
13.378,5.393,80.184,1.045,0,0,39682048,0,1391,0,0,19609,47283,4,3,533,4016599040,20041969664,2301751296,37534244864,0,0,0,40370176,19575,47012,13.244,5.365,80.302,1.090,0
18.371,3.283,75.977,2.369,0,7716864,69222400,304,9134,0,0,10150,36394,5,0,181,4225150976,19797827584,2301771776,37567172608,0,0,7716864,68534272,10156,36566,18.431,3.279,75.965,2.325,0
21.414,2.976,72.592,3.018,0,0,107606016,160,9923,0,0,9136,37601,15,1,146,4359852032,19580538880,2301784064,37645754368,0,0,0,107606016,9135,37492,21.496,2.976,72.509,3.018,0
34.437,3.808,61.175,0.579,0,0,7950336,240,6748,0,0,7044,28413,10,0,77,4489994240,19444957184,2301792256,37651079168,0,0,0,7950336,7038,28356,34.328,3.814,61.277,0.580,0
40.309,2.757,56.934,0,0,0,0,80,3253,0,0,6298,17943,5,0,32,4670033920,19263303680,2301792256,37651111936,0,0,0,0,6298,17937,40.292,2.756,56.952,0,0
22.638,1.956,75.156,0.250,0,0,757760,31112,35498,0,0,5391,13247,4,0,62,4700692480,19230072832,2301800448,37651251200,0,0,0,757760,5395,13303,22.620,1.954,75.177,0.249,0
5.493,0.791,93.675,0.042,0,0,118784,31240,33379,0,0,1745,4801,2,0,7,4738535424,19190558720,2301800448,37651259392,0,0,0,118784,1742,4752,5.493,0.832,93.633,0.042,0
5.870,1.665,92.465,0,0,0,184320,114575,115629,0,0,4349,10407,1,0,50,4543062016,19358625792,2301800448,37678637056,0,0,0,184320,4348,10400,5.873,1.624,92.503,0,0
0.958,1.333,97.709,0,0,0,0,0,1379,0,0,1508,2420,0,0,15,4547497984,19354157056,2301800448,37678637056,0,0,0,0,1508,2420,0.957,1.332,97.711,0,0
0.417,1.418,98.165,0,0,0,0,0,754,0,0,1510,1872,0,0,15,4544593920,19357478912,2301800448,37678632960,0,0,0,0,1512,1875,0.417,1.417,98.166,0,0
0.333,1.167,98.500,0,0,0,0,0,754,0,0,893,1419,0,0,7,4544978944,19357392896,2301800448,37678637056,0,0,0,0,891,1416,0.333,1.167,98.499,0,0
0.333,0.250,99.417,0,0,0,0,0,252,0,0,754,1343,1,0,7,4545318912,19357052928,2301800448,37678637056,0,0,0,0,754,1343,0.334,0.292,99.374,0,0
0.083,1.043,98.874,0,0,0,278528,0,322,0,0,789,1206,0,0,2,4544847872,19357507584,2301800448,37678637056,0,0,0,278528,789,1206,0.083,1.000,98.917,0,0
0.458,1.206,98.336,0,0,0,0,0,252,0,0,905,1425,0,0,7,4545486848,19356876800,2301800448,37678637056,0,0,0,0,905,1425,0.457,1.247,98.295,0,0
0.167,1.210,98.623,0,0,0,0,0,1442,0,0,971,1543,0,0,7,4545421312,19356934144,2301800448,37678637056,0,0,0,0,971,1543,0.167,1.169,98.664,0,0
0.333,1.082,98.585,0,0,0,0,0,392,0,0,913,1163,0,0,7,4545933312,19356430336,2301800448,37678637056,0,0,0,0,913,1164,0.333,1.082,98.586,0,0
0.167,0.292,99.541,0,0,0,0,0,1127,0,0,707,1278,1,0,7,4545515520,19356856320,2301800448,37678637056,0,0,0,0,707,1277,0.167,0.293,99.540,0,0
0.209,1.126,98.624,0.042,0,0,49152,0,754,0,0,901,1450,0,0,2,4545081344,19357196288,2301800448,37678649344,0,0,0,49152,901,1450,0.208,1.124,98.626,0.042,0
3.135,2.467,93.436,0.962,0,0,30937088,18446744073709481984,18446744073709438976,0,0,7102,15444,0,1,101,4539838464,19368349696,2301800448,37678645248,0,0,0,30953472,7102,15444,3.176,2.466,93.397,0.961,0
3.211,3.003,93.203,0.584,0,16384,4993024,18446744073709516800,18446744073709502464,0,0,9410,16686,1,0,106,3930800128,19981234176,2301812736,37678211072,0,0,16384,4976640,9413,16693,3.172,3.005,93.239,0.584,0
1.087,1.297,97.532,0.084,0,0,1433600,18446744073709479936,18446744073709508608,0,0,3446,6059,1,0,27,3920732160,19993235456,2301812736,37678157824,0,0,0,1433600,3443,6052,1.129,1.338,97.449,0.084,0
0.292,0.667,99.000,0.042,0,0,20480,80,164,0,0,1378,2194,1,0,13,3839463424,20074725376,2301812736,37677936640,0,0,0,20480,1378,2194,0.291,0.665,99.002,0.042,0
3.808,3.601,92.136,0.455,0,0,2785280,18446744073709549568,18446744073709535232,0,0,8884,16487,1,0,230,3816312832,20343197696,2301812736,37437313024,0,0,0,2785280,8884,16487,3.776,3.568,92.199,0.456,0
4.697,2.161,92.560,0.582,0,0,20406272,253,253,0,0,5476,10960,1,2,118,3835052032,20297314304,2301812736,37464842240,0,0,0,21094400,5477,10962,4.699,2.162,92.557,0.582,0
7.409,5.944,85.308,1.339,0,0,14766080,80,1006,0,0,16703,38286,2,0,453,3992674304,20138504192,2301825024,37465182208,0,0,0,14077952,16702,38300,7.412,5.988,85.260,1.340,0
12.893,3.471,82.273,1.364,0,7716864,43270144,64,2410,0,0,9796,24559,4,1,240,4076191744,19913048064,2301829120,37601075200,0,0,7716864,43270144,9811,24588,12.923,3.427,82.246,1.404,0
10.634,3.336,79.900,6.130,0,0,120045568,320,13867,0,0,8632,21199,3,5,71,4123910144,19789369344,2301837312,37675687936,0,0,0,120733696,8618,21158,10.680,3.338,79.850,6.133,0
17.549,3.001,75.323,4.127,0,0,58445824,0,6145,0,0,10193,28948,7,0,213,4303233024,19606568960,2301841408,37678260224,0,0,0,57757696,10192,28944,17.480,3.004,75.428,4.088,0
32.683,2.865,64.452,0,0,0,196608,80,5146,0,0,7051,29006,4,0,76,4470120448,19464376320,2301841408,37651263488,0,0,0,196608,7051,29006,32.739,2.863,64.398,0,0
39.425,2.540,57.910,0.125,0,0,1802240,160,2471,0,0,6420,21238,5,0,41,4674584576,19258171392,2301841408,37651300352,0,0,0,1802240,6420,21238,39.375,2.542,57.958,0.125,0
18.669,1.123,80,0.208,0,0,749568,18478,24541,0,0,4394,9842,4,0,20,4664258560,19266818048,2301841408,37651406848,0,0,0,749568,4394,9842,18.646,1.121,80.025,0.208,0
2.949,1.246,95.806,0,0,0,0,12644,13478,0,0,1809,5377,2,0,57,4698308608,19231842304,2301841408,37651447808,0,0,0,0,1809,5377,2.952,1.247,95.800,0,0
6.048,1.408,92.502,0.041,0,0,122880,26463,27184,0,0,2427,4704,2,0,16,4731416576,19196985344,2301841408,37651472384,0,0,0,122880,2429,4718,6.079,1.406,92.473,0.041,0
5.426,1.419,92.112,1.043,0,0,1650688,94809,96630,0,0,3289,8110,0,1,9,4763860992,19164364800,2301857792,37651468288,0,0,0,1650688,3287,8096,5.386,1.420,92.150,1.044,0
3.897,1.410,91.708,2.985,0,0,4653056,0,574,0,0,3506,4705,0,1,7,4765171712,19162619904,2301886464,37651718144,0,0,0,4653056,3509,4712,3.896,1.409,91.670,3.025,0
8.288,0.995,89.432,1.285,0,344064,1933312,85113,85742,0,0,5149,11688,5,0,50,4568535040,19358031872,2301902848,37652664320,0,0,344064,1933312,5158,11702,8.337,1.037,89.382,1.244,0
5.243,1.581,93.175,0,0,0,0,0,629,0,0,2618,3817,0,0,17,4584796160,19314786304,2301902848,37679480832,0,0,0,0,2606,3796,5.198,1.538,93.264,0,0
2.960,1.209,95.832,0,0,0,0,0,574,0,0,1211,1725,1,0,7,4585545728,19314036736,2301902848,37679480832,0,0,0,0,1211,1725,3.005,1.210,95.785,0,0
3.167,1.083,95.750,0,0,0,0,0,1274,0,0,1463,1370,0,0,7,4585734144,19313848320,2301902848,37679480832,0,0,0,0,1463,1371,3.122,1.082,95.795,0,0
2.838,1.085,96.077,0,0,0,0,0,742,0,0,1256,1647,2,0,7,4585926656,19313655808,2301902848,37679480832,0,0,0,0,1256,1646,2.881,1.127,95.992,0,0
2.166,0.375,97.459,0,0,0,0,0,252,0,0,957,1508,0,0,2,4592517120,19307065344,2301902848,37679480832,0,0,0,0,958,1508,2.123,0.333,97.544,0,0
0.125,1.085,98.748,0.042,0,0,278528,0,1377,0,0,1024,1495,0,0,7,4593188864,19306389504,2301902848,37679480832,0,0,0,278528,1024,1497,0.125,1.085,98.748,0.042,0
0.375,1.208,98.417,0,0,0,0,0,322,0,0,1218,1651,0,0,7,4593627136,19305951232,2301902848,37679480832,0,0,0,0,1217,1649,0.375,1.208,98.417,0,0
0.334,1.504,98.161,0,0,0,0,0,377,0,0,2065,2313,0,0,16,4591194112,19308789760,2301902848,37679489024,0,0,0,0,2065,2313,0.334,1.545,98.121,0,0
